	id	rate
1001	1001	0.347801606103176
1003	1003	1
1005	1005	0.147048473168622
1007	1007	0.0511472950151729
1009	1009	0.103573272405725
1011	1011	0.0409178360121383
1013	1013	0.126589555162553
1015	1015	0.832422226371939
1017	1017	0.07544226014738
1019	1019	0.241670968946692
1021	1021	0.22632678044214
1023	1023	0.107409319531863
1025	1025	0.083114354399656
1027	1027	0.0166228708799312
1029	1029	0.102294590030346
1031	1031	0.488456667394901
1033	1033	0.205867862436071
1035	1035	0.0421965183875177
1037	1037	0.0779996248981387
1039	1039	0.617603587308213
1041	1041	0.0920651310273112
1043	1043	0.300490358214141
1045	1045	0.350358970853934
1047	1047	0.368260524109245
1049	1049	0.462883019887315
1051	1051	0.475669843641108
1053	1053	0.181572897303864
1055	1055	0.135540331790208
1057	1057	0.0242949651322071
1059	1059	0.155999249796277
1061	1061	0.210982591937588
1063	1063	0.0741635777720007
1065	1065	0.0460325655136556
1067	1067	0.0907864486519319
1069	1069	1
1071	1071	0.22632678044214
1073	1073	1
1075	1075	0.0473112478890349
1077	1077	0.35930974748159
1079	1079	0.166228708799312
1081	1081	1
1083	1083	0.303047722964899
1085	1085	0.0294096946337244
1087	1087	0.152163202670139
1089	1089	1
1091	1091	0.0984585429042078
1093	1093	0.153441885045519
1095	1095	0.460325655136556
1097	1097	1
1099	1099	0.0460325655136556
1101	1101	0.803012531738215
1103	1103	0.294096946337244
1105	1105	0
1107	1107	0.0281310122583451
1109	1109	0.18924499155614
1111	1111	0.141933743667105
1113	1113	0.618882269683592
1115	1115	0.212261274312968
1117	1117	0.902749757017802
1119	1119	0.0370817888860004
1121	1121	0.806848578864353
1123	1123	0.122753508036415
1125	1125	1
1127	1127	0.299211675838762
1129	1129	0.0652128011443455
1131	1131	0.0332457417598624
1133	1133	0.227605462817519
2013	2013	0.0409178360121383
2016	2016	0.171343438300829
2020	2020	1
2050	2050	1
2060	2060	0.0153441885045519
2068	2068	0.00383604712613797
2070	2070	0.439866737130487
2090	2090	1
2100	2100	0.00895077662765526
2105	2105	0.210982591937588
2110	2110	0.608652810680558
2122	2122	1
2130	2130	0.374653935986142
2150	2150	0.369539206484624
2164	2164	0.219933368565244
2170	2170	1
2180	2180	0.861831921005664
2185	2185	0.735242365843111
2188	2188	0.581800480797592
2195	2195	0.186687626805381
2198	2198	0.139376378916346
2220	2220	0.489735349770281
2230	2230	0.0179015532553105
2240	2240	0.0997372252795872
2261	2261	0.227605462817519
2270	2270	0.979470699540561
2275	2275	0.126589555162553
2282	2282	0.0255736475075865
2290	2290	0.404063630619866
4001	4001	0.35930974748159
4003	4003	1
4005	4005	1
4007	4007	0.800455166987456
4009	4009	0.222490733316002
4011	4011	0.115081413784139
4012	4012	0.265965934078899
4013	4013	1
4015	4015	1
4017	4017	0.663636152821868
4019	4019	1
4021	4021	1
4023	4023	0.28386748733421
4025	4025	1
4027	4027	1
5001	5001	0.122753508036415
5003	5003	0.406620995370625
5005	5005	0.162392661673174
5007	5007	1
5009	5009	0.172622120676209
5011	5011	0.120196143285656
5013	5013	0.0230162827568278
5015	5015	0.109966684282622
5017	5017	0.225048098066761
5019	5019	0.345244241352417
5021	5021	0.101015907654966
5023	5023	0.265965934078899
5025	5025	0.0370817888860004
5027	5027	0.318391911469451
5029	5029	0.173900803051588
5031	5031	0.713504765461662
5033	5033	0.125310872787174
5035	5035	0.525538456280902
5037	5037	0.0652128011443455
5039	5039	0.0409178360121383
5041	5041	0.470555114139591
5043	5043	0.258293839826623
5045	5045	0.776160201855249
5047	5047	0.0511472950151729
5049	5049	0.0562620245166902
5051	5051	0.649570646692696
5053	5053	0.111245366658001
5055	5055	0.43347332525359
5057	5057	0.305605087715658
5059	5059	0.153441885045519
5061	5061	0.134261649414829
5063	5063	0.118917460910277
5065	5065	0.0460325655136556
5067	5067	0.0677701658951041
5069	5069	0.79278307273518
5071	5071	0.205867862436071
5073	5073	0.179015532553105
5075	5075	0.120196143285656
5077	5077	0.0306883770091037
5079	5079	0.276195393081934
5081	5081	0.102294590030346
5083	5083	0.120196143285656
5085	5085	0.506358220650212
5087	5087	0.043475200762897
5089	5089	0.0869504015257939
5091	5091	0.383604712613797
5093	5093	0.525538456280902
5095	5095	0.0153441885045519
5097	5097	0.00511472950151729
5099	5099	0.0447538831382763
5101	5101	0.00895077662765526
5103	5103	0.163671344048553
5105	5105	0.0524259773905522
5107	5107	0.0255736475075865
5109	5109	0.143212426042484
5111	5111	0.0716062130212421
5113	5113	0.0971798605288285
5115	5115	0.530653185782419
5117	5117	0.035803106510621
5119	5119	1
5121	5121	0.15088452029476
5123	5123	0.0959011781534492
5125	5125	0.326064005721727
5127	5127	0.0716062130212421
5129	5129	0
5131	5131	0.942388910654561
5133	5133	0.0856717191504146
5135	5135	0.172622120676209
5137	5137	0.223769415691381
5139	5139	0.572849704169937
5141	5141	0.360588429856969
5143	5143	1
5145	5145	0.231441509943657
5147	5147	0.0549833421413109
5149	5149	0.0984585429042078
6001	6001	1
6003	6003	0
6005	6005	0.249343063198968
6007	6007	1
6009	6009	0.217376003814485
6011	6011	0.11380273140876
6013	6013	1
6015	6015	0.363145794607728
6017	6017	1
6019	6019	1
6021	6021	0.203310497685312
6023	6023	1
6025	6025	1
6027	6027	0.590751257425247
6029	6029	1
6031	6031	1
6033	6033	0.456489608010418
6035	6035	0.18924499155614
6037	6037	1
6039	6039	1
6041	6041	1
6043	6043	0.287703534460348
6045	6045	0.845209050125732
6047	6047	1
6049	6049	0.171343438300829
6051	6051	0.521702409154764
6053	6053	1
6055	6055	1
6057	6057	0.834979591122698
6059	6059	1
6061	6061	1
6063	6063	0.0537046597659316
6065	6065	1
6067	6067	1
6069	6069	0.589472575049868
6071	6071	1
6073	6073	1
6075	6075	1
6077	6077	1
6079	6079	1
6081	6081	1
6083	6083	1
6085	6085	1
6087	6087	1
6089	6089	1
6091	6091	0.035803106510621
6093	6093	0.386162077364555
6095	6095	1
6097	6097	1
6099	6099	1
6101	6101	0.884848203762491
6103	6103	0.708390035960145
6105	6105	0.216097321439106
6107	6107	1
6109	6109	0.391276806866073
6111	6111	1
6113	6113	1
6115	6115	0.675144294200282
8001	8001	1
8003	8003	0.195638403433036
8005	8005	1
8007	8007	0.101015907654966
8009	8009	0.0370817888860004
8011	8011	0.0191802356306898
8013	8013	1
8014	8014	0.745471824846145
8015	8015	0.421965183875177
8017	8017	0.0102294590030346
8019	8019	0.079278307273518
8021	8021	0.0728848953966214
8023	8023	0.0217376003814485
8025	8025	0.0447538831382763
8027	8027	0
8029	8029	0.300490358214141
8031	8031	1
8033	8033	0.00767209425227594
8035	8035	1
8037	8037	0.60481676355442
8039	8039	0.186687626805381
8041	8041	1
8043	8043	0.326064005721727
8045	8045	0.810684625990491
8047	8047	0.0230162827568278
8049	8049	0.135540331790208
8051	8051	1
8053	8053	0.0485899302644143
8055	8055	0.0779996248981387
8057	8057	0.0166228708799312
8059	8059	1
8061	8061	0.00639341187689661
8063	8063	0.0460325655136556
8065	8065	0.0639341187689661
8067	8067	1
8069	8069	1
8071	8071	0.0997372252795872
8073	8073	0.0268523298829658
8075	8075	0.319670593844831
8077	8077	1
8079	8079	0.00255736475075865
8081	8081	0.0984585429042078
8083	8083	0.225048098066761
8085	8085	0.3772113007369
8087	8087	0.180294214928484
8089	8089	0.257015157451244
8091	8091	0.0767209425227594
8093	8093	0.0639341187689661
8095	8095	0.039639153636759
8097	8097	0.676422976575662
8099	8099	0.230162827568278
8101	8101	1
8103	8103	0.0959011781534492
8105	8105	0.07544226014738
8107	8107	0.694324529830972
8109	8109	0.125310872787174
8111	8111	0.0575407068920695
8113	8113	0.319670593844831
8115	8115	0.0179015532553105
8117	8117	0.671308247074144
8119	8119	0.149605837919381
8121	8121	0.0460325655136556
8123	8123	1
8125	8125	0.0971798605288285
9001	9001	1
9003	9003	1
9005	9005	0.776160201855249
9007	9007	1
9009	9009	1
9011	9011	1
9013	9013	0.714783447837041
9015	9015	0.50891558540097
10001	10001	1
10003	10003	1
10005	10005	1
11001	11001	1
12001	12001	1
12003	12003	0.0268523298829658
12005	12005	1
12007	12007	0.0549833421413109
12009	12009	1
12011	12011	1
12013	12013	0.135540331790208
12015	12015	1
12017	12017	1
12019	12019	1
12021	12021	1
12023	12023	0.548554739037729
12027	12027	0.280031440208072
12029	12029	0.122753508036415
12031	12031	1
12033	12033	1
12035	12035	0.901471074642422
12037	12037	0.129146919913312
12039	12039	0.465440384638073
12041	12041	0.0473112478890349
12043	12043	0.0294096946337244
12045	12045	0.0959011781534492
12047	12047	0.140655061291726
12049	12049	0.583079163172971
12051	12051	0.526817138656281
12053	12053	1
12055	12055	0.904028439393181
12057	12057	1
12059	12059	0.0664914835197248
12061	12061	1
12063	12063	0.265965934078899
12065	12065	0.0549833421413109
12067	12067	0.0971798605288285
12069	12069	1
12071	12071	1
12073	12073	1
12075	12075	0.331178735223245
12077	12077	0.0370817888860004
12079	12079	0.562620245166902
12081	12081	1
12083	12083	1
12085	12085	1
12086	12086	1
12087	12087	1
12089	12089	1
12091	12091	1
12093	12093	0.288982216835727
12095	12095	1
12097	12097	1
12099	12099	1
12101	12101	1
12103	12103	1
12105	12105	1
12107	12107	0.586915210299109
12109	12109	1
12111	12111	1
12113	12113	1
12115	12115	1
12117	12117	1
12119	12119	1
12121	12121	0.250621745574347
12123	12123	0.079278307273518
12125	12125	0.039639153636759
12127	12127	1
12129	12129	0.177736850177726
12131	12131	1
12133	12133	0.251900427949727
13001	13001	0.7544226014738
13003	13003	0.0652128011443455
13005	13005	0.13298296703945
13007	13007	0.0907864486519319
13009	13009	0.592029939800626
13011	13011	0.0690488482704834
13013	13013	0.3401295118509
13015	13015	0.938552863528423
13017	13017	0.199474450559174
13019	13019	0.103573272405725
13021	13021	1
